Simulation Number, 1  0  0, 0  0  1, 1  0  1,AspectRatio_ 0  0  1/ 1  0  1,AspectRatio_ 1  0  1/ 1  0  0
277.0,146.8,164.6,151.9,1.0836076366030283,1.034741144414169
278.0,149.4,166.3,150.3,1.1064537591483699,1.0060240963855422
279.0,153.5,169.6,149.3,1.1359678499665102,0.9726384364820848
280.0,150.9,169.6,151.9,1.116524028966425,1.0066269052352552
281.0,150.5,167.1,150.9,1.107355864811133,1.00265780730897
282.0,152.8,169.6,150.3,1.128409846972721,0.9836387434554974
283.0,155.4,171.3,152.0,1.1269736842105265,0.9781209781209781
284.0,154.6,173.8,151.1,1.1502316346790207,0.9773609314359638
285.0,158.0,174.6,148.7,1.1741761936785475,0.941139240506329
286.0,158.3,177.2,148.7,1.191661062542031,0.939355653821857
287.0,160.3,178.8,146.2,1.222982216142271,0.9120399251403617
288.0,154.2,146.1,154.3,0.9468567725210627,1.0006485084306098
289.0,153.1,157.9,139.5,1.131899641577061,0.9111691704768126
290.0,145.2,146.1,143.8,1.0159944367176632,0.9903581267217633
291.0,146.1,145.3,138.9,1.0460763138948885,0.9507186858316222
292.0,143.4,146.1,137.3,1.064093226511289,0.9574616457461647
293.0,143.4,141.1,137.4,1.026928675400291,0.9581589958158996
294.0,145.3,144.4,138.0,1.046376811594203,0.9497591190640055
295.0,140.1,142.7,134.1,1.064131245339299,0.9571734475374732
296.0,141.5,141.9,135.8,1.044918998527246,0.9597173144876326
297.0,139.7,139.4,138.1,1.0094134685010863,0.9885468861846815
298.0,142.4,139.4,138.9,1.0035997120230382,0.9754213483146067
299.0,135.6,141.9,135.8,1.044918998527246,1.0014749262536875
300.0,141.2,146.1,136.4,1.0711143695014662,0.9660056657223797
301.0,137.4,144.4,135.7,1.064112011790715,0.9876273653566229
302.0,138.7,146.1,138.8,1.052593659942363,1.0007209805335258
303.0,141.9,146.9,138.8,1.0583573487031699,0.97815362931642
304.0,142.3,151.1,135.8,1.112665684830633,0.9543218552354181
305.0,139.7,148.6,139.7,1.0637079455977094,1.0
306.0,141.9,149.5,139.0,1.0755395683453237,0.9795630725863284
307.0,137.5,149.5,142.2,1.0513361462728552,1.034181818181818
